Objective1,Objective2,X_all_values
175425.0305,0.064,"[99.71395076, 1, 15.42664654, 19, 12.85792845, 1, 1, 48, 24.54117969, 26, 44.43142882, 40, 3.61394006, 1, 44.06435677, 90, 1, 36, 78.20060223]"
23153.3221,0.081,"[100, 1, 36.0276809, 43, 33.12635276, 1, 19.23312164, 57, 56.14363556, 13, 70.11460768, 60, 45.78552765, 11, 66.90932861, 90, 3.23870508, 21, 49.57756077]"
378791.528,0.046,"[1, 20, 1, 1, 80.90473114, 1, 32.36352823, 1, 44.50456948, 67, 40.25759067, 1, 1, 78, 1, 90, 1, 1, 19.19516959]"
397730.683,0.0355,"[1, 11, 1, 7, 94.88552937, 1, 4.11505302, 1, 32.84824653, 58, 47.15219605, 1, 1, 90, 1, 90, 1, 1, 4.53777015]"
216016.0265,0.0586,"[6.49845725, 16, 4.65214894, 5, 84.77596495, 6, 27.84496598, 1, 49.16223549, 58, 47.36657679, 1, 7.85446623, 80, 1, 90, 1, 4, 24.94091547]"
219061.4873,0.0569,"[5.90049992, 16, 3.48557106, 6, 85.38715095, 5, 26.444018, 1, 48.36020042, 58, 47.56783418, 1, 6.85533662, 81, 1, 90, 1, 3, 23.9114921]"
381352.5337,0.0422,"[1, 19, 1, 1, 83.46412845, 1, 28.56745674, 1, 46.47555687, 65, 42.51425851, 1, 1, 82, 1, 90, 1, 1, 17.76998158]"
215701.1479,0.0587,"[6.51799196, 16, 4.66839105, 5, 84.7305968, 6, 27.93457014, 1, 49.21624792, 58, 47.3168549, 1, 7.97410052, 80, 1, 90, 1, 4, 24.98311446]"
398055.8357,0.0352,"[1, 11, 1, 7, 95.62210344, 1, 2.66249175, 1, 31.7784662, 58, 46.91912178, 1, 1, 90, 1, 90, 1, 1, 3.34861744]"
340407.3056,0.0512,"[3.53414715, 19, 1, 1, 91.13331795, 1, 24.84417693, 1, 43.61033112, 76, 37.28586171, 1, 1, 83, 1, 90, 1, 1, 18.44518969]"
398151.7738,0.0351,"[1, 11, 1, 7, 95.75054801, 1, 2.36050582, 1, 31.57706322, 58, 46.91990714, 1, 1, 90, 1, 90, 1, 1, 3.09260708]"
69227.3495,0.0704,"[15.83082723, 22, 3.32005157, 1, 82.02702636, 15, 31.55463816, 1, 49.6735825, 63, 44.15542792, 1, 5.53008185, 77, 5.19660848, 90, 1, 2, 27.70973228]"
342099.4535,0.0477,"[6.59321932, 19, 3.54063096, 1, 86.53684719, 1, 29.12742722, 1, 48.24858757, 67, 42.66292068, 1, 1, 80, 1, 90, 1, 1, 24.07532415]"
398347.1561,0.035,"[1, 11, 1, 7, 95.95235866, 1, 1.88602894, 1, 31.26062114, 58, 46.92114108, 1, 1, 90, 1, 90, 1, 1, 2.69036648]"
214413.9704,0.0589,"[6.75052787, 16, 5.12242423, 5, 84.49334618, 6, 28.47863453, 1, 49.52767589, 58, 47.23931907, 1, 8.36117418, 80, 1, 90, 1, 4, 25.38329556]"
48330.0397,0.08,"[23.27402634, 12, 21.98805017, 4, 82.69379899, 11, 31.9064018, 1, 51.85215171, 51, 46.75215646, 1, 7.31341522, 76, 7.88496195, 89, 17.70373023, 8, 28.49973107]"
216872.8269,0.0585,"[6.49420568, 16, 4.72935213, 5, 84.87961839, 6, 27.6636236, 1, 49.04780531, 58, 47.53669357, 1, 7.50725536, 80, 1, 90, 1, 4, 24.90009633]"
216205.5941,0.0586,"[6.46766163, 16, 4.59248514, 5, 84.80792572, 6, 27.77198022, 1, 49.12039983, 58, 47.37776371, 1, 7.80135259, 80, 1, 90, 1, 4, 24.88773553]"
8943.7451,0.1169,"[42.78333733, 21, 50.43607712, 27, 100, 1, 53.69651538, 67, 27.47637332, 1, 100, 73, 52.87130917, 53, 68.72732052, 41, 45.92068938, 48, 55.71810274]"
5229.324,0.2343,"[100, 1, 100, 48, 100, 1, 98.60581904, 64, 39.87869565, 1, 100, 90, 100, 55, 100, 75, 100, 1, 100]"
6252.0563,0.18,"[91.44051693, 15, 96.31373689, 28, 100, 1, 74.19682637, 64, 69.39008691, 1, 100, 77, 89.20876032, 38, 100, 20, 64.01052556, 55, 83.56685939]"
5260.3957,0.1885,"[100, 1, 100, 47, 100, 1, 95.88582119, 62, 47.42582763, 1, 100, 90, 100, 47, 100, 68, 100, 14, 100]"
5204.5666,0.3241,"[100, 1, 100, 43, 100, 1, 100, 56, 66.27313563, 1, 100, 90, 100, 24, 100, 49, 100, 32, 100]"
5237.4329,0.2169,"[100, 1, 100, 58, 100, 1, 100, 59, 29.20282313, 1, 100, 90, 100, 55, 100, 89, 100, 1, 100]"
5211.6731,0.2503,"[100, 1, 100, 47, 100, 1, 99.99918688, 64, 45.34062472, 1, 100, 90, 100, 50, 100, 67, 100, 12, 100]"
8544.8688,0.138,"[50.06075039, 7, 46.29921268, 82, 39.14419134, 19, 54.96740967, 41, 89.72724113, 90, 82.73681039, 1, 97.89851588, 26, 58.12985261, 90, 76.18899633, 51, 64.2512488]"
7280.3151,0.1381,"[81.21980994, 22, 33.4431693, 16, 94.11524141, 3, 68.40982336, 35, 80.18509623, 80, 60.35234562, 12, 90.37033695, 34, 56.86393586, 12, 79.20116146, 72, 56.6845235]"
5591.7718,0.1815,"[100, 19, 92.10357246, 1, 100, 1, 100, 1, 100, 90, 100, 1, 100, 46, 67.53431287, 1, 100, 90, 1]"
16550.2975,0.0898,"[46.99606254, 9, 31.5618478, 38, 46.44229837, 61, 62.6331232, 22, 26.55334031, 44, 28.52703088, 78, 48.25947902, 29, 55.57402432, 59, 17.00039724, 68, 78.81566779]"
12543.9038,0.0967,"[33.52087336, 1, 100, 1, 37.48763854, 59, 23.41784031, 29, 73.58688125, 68, 34.58039874, 90, 50.18946676, 68, 48.42651415, 43, 99.06470395, 1, 100]"
17037.3548,0.0869,"[16.52618145, 1, 100, 1, 47.05783146, 50, 55.94643715, 46, 79.1087093, 38, 28.30138562, 85, 15.52852073, 65, 38.52127505, 51, 78.01899271, 1, 100]"
6276.7788,0.1767,"[43.47729592, 2, 23.35169089, 1, 67.50257092, 85, 95.20209421, 86, 95.86813812, 6, 88.9251085, 77, 80.76117927, 68, 79.66615402, 85, 96.60609168, 80, 100]"
237536.5158,0.0568,"[1, 1, 100, 1, 7.57685152, 26, 26.10857461, 39, 38.13799809, 83, 1, 90, 1, 52, 19.47659197, 46, 67.32836791, 1, 100]"
17096.2848,0.0868,"[16.37844307, 1, 100, 1, 47.02518464, 50, 55.9704617, 46, 79.04559705, 38, 28.13139638, 85, 15.47335395, 65, 38.43401948, 51, 77.96688596, 1, 100]"
6532.1522,0.169,"[49.90778168, 2, 36.7792922, 1, 65.3946184, 79, 82.59798806, 78, 94.94924277, 14, 82.13077162, 78, 80.64282548, 69, 80.8489734, 78, 93.81137293, 71, 100]"
16916.4953,0.087,"[16.8336402, 1, 100, 1, 47.12577284, 50, 55.8964396, 46, 79.24005237, 38, 28.65515073, 85, 15.64332846, 65, 38.70286286, 51, 78.12743223, 1, 100]"
5199.5298,0.381,"[100, 1, 100, 1, 100, 90, 100, 1, 100, 90, 100, 90, 100, 79, 100, 90, 100, 71, 100]"
5199.5298,0.5398,"[100, 1, 100, 43, 100, 1, 100, 90, 100, 64, 100, 90, 100, 90, 100, 1, 100, 22, 1]"
6727.464,0.1629,"[51.4019889, 9, 73.36619721, 35, 71.39978856, 15, 73.84063471, 88, 82.31975405, 44, 76.81153419, 81, 81.40617481, 70, 93.14129169, 6, 91.93787265, 38, 5.77638277]"
