Objective1,Objective2,X_all_values
6322.778,0.1825,"[66.35872452, 6, 26.60427619, 41.79204537, 65.70840699, 17.77098091, 85.95176309, 16.80616257, 79.60539882, 61.72633948, 104.51302985, 30.04887874, 57.70671739, 14, 83.0937915, 79, 82.68397507, 62.83800224, 55.43842306]"
6322.5021,0.1825,"[65.21270942, 6, 78.03673087, 41.79204537, 65.70840699, 17.77098091, 87.08376378, 16.80616257, 78.67019307, 61.72633948, 104.51302985, 30.04887874, 56.92073728, 14, 85.01085379, 79, 84.2911868, 62.83800224, 55.43842306]"
6337.9232,0.1822,"[66.35872452, 6, 25.93978584, 41.79204537, 65.70840699, 17.77098091, 87.08376378, 16.80616257, 76.47053323, 61.72633948, 104.51302985, 30.04887874, 56.92073728, 14, 83.0937915, 79, 82.68397507, 62.83800224, 55.43842306]"
6325.6192,0.1824,"[65.21270942, 6, 25.93978584, 41.79204537, 65.70840699, 17.77098091, 87.08376378, 16.80616257, 78.67019307, 61.72633948, 104.17628558, 30.04887874, 56.92073728, 14, 83.0937915, 79, 84.2911868, 62.83800224, 54.77959612]"
6309.1835,0.1826,"[66.35872452, 6, 78.46766974, 41.79204537, 65.70840699, 17.77098091, 84.83661013, 16.80616257, 76.47053323, 61.72633948, 102.83434542, 30.04887874, 56.92073728, 14, 85.01085379, 79, 90.1687264, 62.83800224, 55.43842306]"
6299.8535,0.1828,"[65.21270942, 6, 22.36383882, 41.79204537, 63.96001215, 17.77098091, 84.83661013, 16.80616257, 76.47053323, 61.72633948, 102.83434542, 30.04887874, 56.92073728, 14, 83.0937915, 79, 82.68397507, 62.83800224, 55.43842306]"
6351.6942,0.1819,"[66.35872452, 6, 29.88367412, 41.79204537, 65.70840699, 17.77098091, 86.41380025, 16.80616257, 82.17126611, 61.72633948, 103.06106464, 30.04887874, 56.92073728, 14, 85.01085379, 79, 90.1687264, 62.83800224, 55.43842306]"
6351.9701,0.1819,"[66.35872452, 6, 29.88367412, 41.79204537, 65.70840699, 17.77098091, 86.41380025, 16.80616257, 82.17126611, 61.72633948, 103.06106464, 30.04887874, 56.92073728, 14, 85.01085379, 79, 90.1687264, 62.83800224, 55.43842306]"
6233.2908,0.1846,"[67.58481556, 6, 80.9495586, 41.79204537, 66.01673159, 17.77098091, 87.08376378, 16.80616257, 82.17126611, 61.72633948, 104.51302985, 31.0741596, 59.11138171, 13.41910676, 85.01085379, 79, 91.68869544, 62.99793109, 55.43842306]"
6253.8585,0.1842,"[67.58481556, 6, 29.88367412, 41.79204537, 66.01673159, 17.77098091, 87.08376378, 16.80616257, 82.17126611, 61.72633948, 104.51302985, 31.0741596, 59.11138171, 13.41910676, 85.01085379, 79, 91.68869544, 62.99793109, 55.43842306]"
